Team,Total_Players,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS,Total_Spent,Total_Offense,Pct_Off,Total_Defense_ST,Pct_DST
Arizona Cardinals,53,8296599,11411398,16322785,3157867,27070307,6306436,27840082,14249063,3693750,118348287,66258956.0,56.0,52089331.0,44.0
Atlanta Falcons,52,17205000,9507891,12766792,4863357,33590858,36402476,7799521,8732267,1460881,132329043,77933898.0,58.9,54395145.0,41.1
Baltimore Ravens,53,4187818,5564248,12328334,6675186,23384223,20051780,8384711,45058808,9886668,135521776,52139809.0,38.5,83381967.0,61.5
Buffalo Bills,53,6589326,6712191,18531034,9832091,29045877,45742408,9432545,20469977,6445000,152800449,70710519.0,46.3,82089930.0,53.7
Carolina Panthers,53,1195545,6253936,8996354,8821998,19230727,13918256,40009371,15641376,3065000,117132563,44498560.0,38.0,72634003.0,62.0
Chicago Bears,53,13917933,1793403,29401082,1256652,13701762,18218693,23244165,36443201,2955000,140931891,60070832.0,42.6,80861059.0,57.4
Cincinnati Bengals,53,17389080,7343572,12984755,10857843,29170380,28649267,4597134,15815777,5685000,132492808,77745630.0,58.7,54747178.0,41.3
Cleveland Browns,53,8060450,2769447,35036966,6562311,34335786,27938607,6066236,33518562,1863447,156151812,86764960.0,55.6,69386852.0,44.4
Dallas Cowboys,53,2767517,8701600,22392774,5586957,49169970,29948522,13403311,13879713,3199117,149049481,88618818.0,59.5,60430663.0,40.5
Denver Broncos,53,1919694,2301104,3768292,6724672,25858423,6949166,33466141,19001740,5570000,105559232,40572185.0,38.4,64987047.0,61.6
Detroit Lions,53,646764,3027262,5573021,3263705,22828699,15223300,7273245,29239707,6435000,93510703,35339451.0,37.8,58171252.0,62.2
Green Bay Packers,52,30244000,2907910,15735270,15966298,38813717,8640066,22532310,22966473,6063723,163869767,103667195.0,63.3,60202572.0,36.7
Houston Texans,53,6778440,5925790,26676944,2775452,20496645,24581032,27120644,22569367,4956618,141880932,62653271.0,44.2,79227661.0,55.8
Indianapolis Colts,53,12675735,2851358,16574997,6657500,28658930,35873749,4862397,29558668,4690470,142403804,67418520.0,47.3,74985284.0,52.7
Jacksonville Jaguars,53,12899779,8743271,4887186,1630587,30322954,29510172,1887960,29650264,3207905,122740078,58483777.0,47.6,64256301.0,52.4
Kansas City Chiefs,53,9224776,5995293,24925366,12023400,28126772,14993986,12118156,22346763,5425000,135179512,80295607.0,59.4,54883905.0,40.6
Los Angeles Chargers,53,27064391,7229972,18438990,5899218,24387068,38093722,13917494,18784338,1580000,155395193,83019639.0,53.4,72375554.0,46.6
Los Angeles Rams,53,11629577,12105164,26243537,4080176,30046383,30449657,21891393,19875598,6012000,162333485,84104837.0,51.8,78228648.0,48.2
Miami Dolphins,53,6779898,1321817,18655488,2611944,9505599,9518802,3325373,7344113,1809134,60872168,38874746.0,63.9,21997422.0,36.1
Minnesota Vikings,51,29735000,4385770,21796733,5244517,23365625,37259520,12532800,39687797,3158644,177166406,84527645.0,47.7,92638761.0,52.3
New England Patriots,53,22534599,12341919,18853923,2677267,19141266,9997663,24121800,45147323,1764597,156580357,75548974.0,48.2,81031383.0,51.8
New Orleans Saints,52,26595000,4820693,10976972,5900000,41679549,17729024,18237940,20465896,6795000,153200074,89972214.0,58.7,63227860.0,41.3
New York Giants,53,28450751,8939922,12651421,768240,26375016,8774528,25972160,11466639,1699707,125098384,77185350.0,61.7,47913034.0,38.3
New York Jets,53,7367714,11445014,13663683,768529,16390682,19981194,6213768,18872668,1974833,96678085,49635622.0,51.3,47042463.0,48.7
Oakland Raiders,52,25280481,6664168,12599347,5147062,24110991,15012622,6506519,22578768,1635833,119535791,73802049.0,61.7,45733742.0,38.3
Philadelphia Eagles,51,13488782,3400111,10594500,7806800,26056855,24663523,6769283,23832439,1942500,118554793,61347048.0,51.7,57207745.0,48.3
Pittsburgh Steelers,53,892058,2808722,3832455,6920982,36220709,21061427,26346168,25226896,6445000,129754417,50674926.0,39.1,79079491.0,60.9
Seattle Seahawks,52,26931668,1553350,11821417,1161175,23671098,23437378,27405249,11945678,4017537,131944550,65138708.0,49.4,66805842.0,50.6
San Francisco 49ers,27,20962358,11402083,8824778,3632574,25087330,42978473,13924389,26761893,4951764,154893068,69909123.0,45.1,88616519.0,57.2
Tampa Bay Buccaneers,53,22177000,4227251,5674887,10654040,41573313,29556492,24181107,8439193,3671443,150154726,84306491.0,56.1,65848235.0,43.9
Tennessee Titans,53,26347000,7357029,15568137,1565572,34369210,25616765,13339430,24559506,4285058,153007707,85206948.0,55.7,67800759.0,44.3
Washington Redskins,53,9214952,6953051,2093060,1150893,15803802,10650970,6131839,20281939,6307857,78588363,35215758.0,44.8,43372605.0,55.2
